irep theta1 theta2 beta omega1 omega2 LL.IS
82 -1.743077 -0.3720012 -0.1386789 0.9374171 0.1719433 -471.1012
83 -1.489907 -0.5046523 -0.1080436 0.9821632 0.2451907 -497.0461
84 -1.61944 -0.3989822 -0.1385288 0.8109676 0.1655144 -465.2905
85 -1.915435 -0.3947847 -0.09222792 1.218504 0.1816601 -469.6062
86 -1.477294 -0.508503 -0.4132097 0.9460713 0.2909871 -454.1479
87 -1.390692 -0.4958375 -0.2053253 0.4456956 0.2896394 -475.6104
88 -1.813559 -0.4315533 -0.109947 1.152946 0.1407875 -441.5609
89 -1.404081 -0.4719084 -0.1241047 0.6638521 0.2668878 -513.0981
90 -1.468077 -0.4467329 -0.05898099 0.7592186 0.18042 -495.4103
91 -1.585206 -0.5173233 -0.1962729 1.135001 0.3251244 -502.3693
92 -1.773235 -0.3869193 -0.06208428 0.931051 0.1541745 -464.1924
93 -1.705821 -0.5076272 -0.08375227 1.30531 0.261824 -494.4015
94 -1.461804 -0.351694 -0.4231142 0.7341764 0.1552518 -466.8321
95 -1.848877 -0.4994265 -0.09108507 1.293548 0.244387 -461.8235
96 -1.596928 -0.4750583 -0.1364392 0.9697875 0.2465961 -478.986
97 -1.64408 -0.2778464 -0.2141858 0.6989709 0.1472891 -500.8079
98 -1.608655 -0.5307515 -0.2073906 1.198007 0.2588926 -462.9132
99 -1.823611 -0.3344114 -0.2168513 0.7894379 0.1235913 -417.3557
100 -2.301745 -0.3267918 -0.1044499 1.393651 0.2097088 -457.0941
101 -1.609069 -0.4964169 -0.07897169 0.9961701 0.1862051 -455.9189
102 -1.966992 -0.3885646 -0.2375271 1.214047 0.2028327 -438.2416
103 -1.71439 -0.420214 -0.101094 1.32672 0.1910063 -515.3873
104 -1.469975 -0.5213777 -0.1587855 0.484868 0.2657949 -440.3433
105 -1.80602 -0.3686757 -0.1704454 0.9084948 0.1969075 -455.4532
106 -1.69326 -0.3687203 -0.1178857 0.8356818 0.1726512 -478.8213
107 -1.534721 -0.4399614 -0.1722632 0.8786536 0.2824762 -518.8498
108 -1.537983 -0.5127906 -0.2661096 0.9747744 0.244443 -445.9329
109 -1.556461 -0.4213575 -0.1733791 1.018788 0.1623839 -481.8129
110 -1.785569 -0.350051 -0.1722111 1.020559 0.1486442 -465.0141
111 -1.918293 -0.4186497 -0.2261618 1.401519 0.1926821 -451.3239
112 -1.661559 -0.3521263 -0.2876287 0.9672811 0.1982451 -485.9887
113 -1.687449 -0.4515358 -0.1848165 0.8640367 0.2551339 -455.9522
114 -1.429408 -0.4361189 -0.1131642 0.640854 0.2153783 -500.2545
115 -2.017143 -0.3206366 -0.2228796 1.197987 0.1653877 -444.777
116 -2.048588 -0.3494767 -0.1385778 1.118733 0.1768426 -437.1167
117 -1.853147 -0.3198618 -0.1343125 0.7800574 0.1777515 -463.1767
118 -1.840153 -0.3290935 -0.1399254 0.8501947 0.1705255 -460.5328
119 -1.812654 -0.4553702 -0.02817338 1.182229 0.2277798 -491.5022
120 -1.830583 -0.3396623 -0.1365786 1.103015 0.1566794 -486.8351
121 -1.534869 -0.5058889 -0.1052647 0.8187659 0.2445445 -469.8195
122 -1.993303 -0.3896389 -0.2259544 1.234736 0.2583037 -456.8352
123 -1.63802 -0.5255198 -0.05463459 1.297541 0.2031766 -482.2496
124 -1.629004 -0.4403816 -0.1305368 1.184048 0.2065862 -503.2406
125 -1.679043 -0.3612874 -0.193211 0.7841198 0.2203929 -484.6044
126 -1.792982 -0.395689 -0.1378494 1.128104 0.2314464 -494.3688
127 -1.690681 -0.6543949 -0.1769133 1.129991 0.323094 -411.703
128 -1.704764 -0.3575751 -0.2993889 0.9114003 0.1942241 -462.6252
129 -1.529884 -0.5404242 -0.08843791 0.917972 0.3599561 -524.0992
130 -2.055096 -0.3886152 -0.1847346 1.056014 0.2108384 -410.1241
131 -1.659955 -0.3516214 -0.1755626 0.687382 0.1694622 -463.19
132 -1.4746 -0.5013073 -0.3274986 1.007395 0.2724385 -467.5044
133 -1.723806 -0.4824734 0.03890212 0.9517394 0.1796493 -461.2343
134 -1.987119 -0.3038482 -0.1463055 1.044646 0.1471406 -460.1565
135 -1.712329 -0.3375978 -0.2279977 1.125694 0.09313238 -473.1473
136 -2.159688 -0.221411 -0.2220029 1.362209 0.1368869 -494.1961
137 -1.361095 -0.38606 -0.2264272 0.8821482 0.2293297 -555.1073
138 -1.541744 -0.4709863 -0.2165646 0.8881147 0.2804672 -484.4304
139 -1.78529 -0.3716992 -0.11316 0.9696197 0.1499583 -464.1857
140 -1.939205 -0.4859473 -0.04596903 1.230147 0.249189 -455.5508
141 -1.436274 -0.4447181 -0.09468394 1.076255 0.1874948 -529.5818
142 -1.743658 -0.4492135 -0.1165594 0.9710864 0.2204625 -453.5139
143 -1.786515 -0.4470677 -0.05675308 1.156037 0.1927611 -470.8917
144 -1.812716 -0.2944907 -0.2316139 1.054524 0.1437285 -486.9579
145 -1.515453 -0.4430263 -0.1475251 0.6532597 0.190927 -451.947
146 -1.671617 -0.4557667 -0.1311681 0.841051 0.2427643 -460.1784
147 -1.6463 -0.4202566 -0.04097185 0.9582698 0.1622822 -488.5045
148 -1.672894 -0.3483767 -0.2106597 1.035808 0.2040498 -510.413
149 -1.821643 -0.3560362 -0.1731638 1.157154 0.1688902 -478.9082
150 -1.757208 -0.4082473 -0.2317344 0.6903925 0.2523022 -433.8195
151 -1.518125 -0.4150356 -0.1950782 0.9610927 0.1965574 -496.83
152 -1.615191 -0.3235094 -0.3128243 0.8461765 0.171457 -483.221
153 -1.743 -0.375673 -0.1522353 0.6886631 0.2071413 -454.8721
154 -1.287906 -0.482102 -0.1652531 0.58996 0.2420096 -501.2739
155 -1.371574 -0.4087849 -0.1828057 0.9832561 0.2039179 -547.9605
156 -1.933208 -0.3137773 -0.1793745 1.090181 0.1520777 -463.695
157 -1.898107 -0.3563918 -0.3870908 1.25647 0.2083844 -448.0407
158 -1.967567 -0.2973313 -0.2361984 1.287996 0.1558486 -483.2623
159 -1.630929 -0.3700045 -0.15754 0.891964 0.1422029 -477.5372
160 -1.559404 -0.4166296 -0.1545964 0.7339263 0.1955295 -468.6894
161 -1.905594 -0.4652767 -0.1574544 1.045968 0.2417427 -420.9331
162 -1.972288 -0.5142669 -0.1456341 1.225079 0.230692 -399.6696
163 -1.815458 -0.4326991 -0.09953095 1.247959 0.2393838 -495.488
164 -1.660777 -0.4770901 -0.2140776 1.03496 0.2949729 -476.8716
165 -1.737545 -0.4251545 -0.1286437 1.293214 0.2233516 -506.0652
166 -1.731829 -0.4233724 -0.1653505 1.184327 0.1961204 -477.4172
167 -1.317389 -0.4313527 -0.3030736 0.8389331 0.2687876 -535.3987
168 -1.740739 -0.4063534 -0.2234587 0.94747 0.2019253 -444.4079
169 -1.775488 -0.4998204 -0.2771282 1.060281 0.2800972 -421.4153
170 -1.525388 -0.5176537 -0.106466 0.9837738 0.1902875 -456.9474
171 -1.263285 -0.4959224 -0.296863 0.6675537 0.2349405 -476.1851
172 -1.707446 -0.5805384 0.03910048 1.051504 0.2687653 -462.4052
173 -1.576178 -0.6031328 -0.1586924 0.9495562 0.34312 -457.4316
174 -1.45829 -0.493308 -0.1516596 1.047456 0.2555738 -510.7964
175 -1.615207 -0.4804381 -0.1512283 1.242184 0.2773088 -510.2534
176 -1.951242 -0.2985402 -0.1075 1.035863 0.1232094 -470.5847
177 -2.256906 -0.3219105 -0.1664254 1.421399 0.1357411 -427.5665
178 -1.683895 -0.4437487 -0.2408063 1.385492 0.2001984 -482.5123
179 -1.806087 -0.4089865 -0.108678 0.9795439 0.2308063 -473.2411
180 -2.161362 -0.2941279 -0.1728789 1.135539 0.1496775 -428.4055
181 -1.631741 -0.4391802 -0.007602028 0.8767193 0.1841769 -488.2956
182 -1.403949 -0.5152427 -0.09847676 0.8614229 0.2566607 -506.877
183 -1.635211 -0.4700853 -0.176719 0.8117793 0.2713534 -460.3326
184 -1.462031 -0.494813 -0.2024217 1.001127 0.2388232 -482.8179
185 -1.966376 -0.2521435 -0.2413248 1.139379 0.1486523 -487.3158
186 -1.688081 -0.3961299 -0.1846121 1.025743 0.226496 -494.4792
187 -1.750329 -0.3855566 -0.4240632 1.110156 0.256798 -461.1725
188 -1.826622 -0.3961062 -0.2704752 1.334598 0.2310143 -482.7088
189 -1.646069 -0.4082688 -0.1994284 0.9850151 0.2055865 -477.1818
190 -1.841399 -0.3592775 -0.1567415 1.278586 0.205624 -512.8983
191 -1.511556 -0.4482413 -0.3362396 1.056293 0.1715206 -455.2966
192 -1.559532 -0.4147649 -0.2328968 1.005552 0.2477356 -507.2505
193 -1.644902 -0.416313 -0.1034799 0.8025177 0.1704487 -458.0636
194 -1.188644 -0.5155875 -0.2247101 0.6572789 0.2684228 -509.168
195 -1.632239 -0.3518892 -0.3059587 1.069002 0.1682194 -486.4615
196 -1.617137 -0.3614508 -0.2256059 0.8290341 0.1967354 -486.0602
197 -1.824247 -0.3658747 -0.2450968 1.071235 0.2242365 -468.3913
198 -1.4877 -0.3744231 -0.1806892 0.7957228 0.2291636 -536.0209
199 -1.690964 -0.4677247 -0.06084809 0.9421942 0.2251075 -470.1759
200 -1.928565 -0.5358294 -0.0795912 1.18701 0.2572436 -418.6262
