irep theta1 theta2 beta omega1 omega2 LL.IS
82 -1.739815 -0.3604482 -0.1481265 0.9252899 0.1625165 -471.0034
83 -1.449372 -0.5172285 -0.1042253 0.956171 0.2500993 -497.0925
84 -1.616359 -0.3861155 -0.1520617 0.823565 0.1546459 -465.2462
85 -1.886507 -0.4031603 -0.1031057 1.195222 0.1927223 -469.6724
86 -1.414714 -0.5287972 -0.4277259 0.8865463 0.3040808 -454.2294
87 -1.392731 -0.4828646 -0.1955884 0.4102258 0.2837674 -475.5266
88 -1.801767 -0.4234909 -0.1280446 1.15116 0.1301763 -441.5505
89 -1.365985 -0.4921333 -0.1250544 0.6313119 0.2827014 -513.209
90 -1.472003 -0.4508961 -0.0673603 0.8135312 0.1812404 -495.511
91 -1.557859 -0.5234616 -0.2060959 1.108869 0.3323927 -502.4163
92 -1.751223 -0.3869369 -0.05437034 0.9107138 0.1466493 -464.1058
93 -1.696871 -0.513968 -0.07640553 1.30176 0.2641222 -494.4078
94 -1.430068 -0.3553191 -0.4122619 0.690081 0.1594267 -466.7818
95 -1.812126 -0.5178714 -0.09044933 1.271921 0.2555734 -461.9011
96 -1.531374 -0.5157491 -0.1376452 0.924129 0.2737143 -479.0516
97 -1.639216 -0.277521 -0.2093115 0.713244 0.1390256 -500.799
98 -1.579441 -0.5568694 -0.2123968 1.207121 0.2728916 -463.0783
99 -1.794747 -0.341298 -0.2127876 0.7781943 0.111605 -417.2972
100 -2.298858 -0.3241012 -0.104759 1.411401 0.1985941 -457.1522
101 -1.591972 -0.5055712 -0.08176948 1.002927 0.1869248 -455.9545
102 -1.938756 -0.398763 -0.227645 1.19356 0.2039331 -438.2415
103 -1.717211 -0.4032544 -0.09856803 1.303151 0.1803449 -515.2988
104 -1.460771 -0.5328689 -0.1465777 0.4708161 0.2736183 -440.3346
105 -1.784702 -0.3694441 -0.170717 0.8767965 0.1968828 -455.4415
106 -1.682229 -0.3665698 -0.1177727 0.8457394 0.166148 -478.7656
107 -1.49976 -0.4487863 -0.1729007 0.8360818 0.2881921 -518.8872
108 -1.502677 -0.5361215 -0.2674476 0.9743288 0.2571839 -446.0162
109 -1.519758 -0.4339767 -0.1742639 0.999114 0.1673674 -481.9
110 -1.740311 -0.370752 -0.1662815 0.999119 0.1574536 -465.1571
111 -1.917969 -0.41653 -0.2193587 1.396362 0.1864867 -451.2456
112 -1.651197 -0.3519386 -0.2838717 0.9710069 0.1925975 -485.9898
113 -1.673039 -0.4412976 -0.1760978 0.8510475 0.246404 -455.8877
114 -1.450901 -0.4196665 -0.1164404 0.6669804 0.2048726 -500.1952
115 -2.000893 -0.3264978 -0.2254669 1.192102 0.1664251 -444.8094
116 -2.020997 -0.3559104 -0.1453654 1.104618 0.1757791 -437.2236
117 -1.843192 -0.3306445 -0.1240464 0.7919945 0.1812081 -463.1966
118 -1.816846 -0.3339348 -0.151149 0.8596217 0.1667083 -460.6447
119 -1.776116 -0.4745279 -0.02400114 1.167676 0.2366026 -491.5838
120 -1.818863 -0.3399404 -0.1378971 1.098588 0.1591091 -486.8318
121 -1.548827 -0.4991124 -0.1071194 0.8651669 0.237428 -469.7739
122 -1.972388 -0.4051511 -0.2205549 1.231894 0.2665384 -456.8502
123 -1.64347 -0.531676 -0.0410218 1.317387 0.203246 -482.2198
124 -1.606697 -0.443184 -0.1310271 1.15625 0.2111075 -503.1915
125 -1.634474 -0.3610254 -0.1926286 0.7192645 0.2199513 -484.5169
126 -1.7891 -0.4119986 -0.1332147 1.125625 0.2477817 -494.3466
127 -1.615069 -0.685993 -0.193426 1.079499 0.3435498 -411.8133
128 -1.736647 -0.3327057 -0.305859 0.9599824 0.1703073 -462.5584
129 -1.497128 -0.5678423 -0.08303566 0.9007923 0.3775608 -524.1311
130 -2.052437 -0.3711625 -0.1928095 1.059355 0.1922053 -410.0691
131 -1.656499 -0.3562633 -0.1682398 0.6825397 0.1719992 -463.1784
132 -1.467967 -0.4974147 -0.3336569 0.9982587 0.2702189 -467.4824
133 -1.711572 -0.4930741 0.03263308 0.9642134 0.1883875 -461.3093
134 -1.962232 -0.3057897 -0.1594052 1.037484 0.1494475 -460.2638
135 -1.727778 -0.3244214 -0.2273302 1.125572 0.08072396 -472.898
136 -2.141661 -0.2213584 -0.2251903 1.347636 0.1314971 -494.1381
137 -1.354635 -0.3886898 -0.2238137 0.8847965 0.22873 -555.101
138 -1.550511 -0.4558943 -0.214079 0.884343 0.2685644 -484.3365
139 -1.766367 -0.3796765 -0.1324156 0.9763163 0.1632191 -464.3312
140 -1.885011 -0.5130579 -0.03847144 1.20273 0.261864 -455.5776
141 -1.422802 -0.4459674 -0.09857255 1.065292 0.1881926 -529.6153
142 -1.673428 -0.4783546 -0.1098434 0.9317075 0.2346914 -453.6376
143 -1.788699 -0.4447951 -0.0603223 1.158885 0.1905358 -470.9096
144 -1.804829 -0.2921264 -0.2305663 1.038479 0.1435411 -486.9138
145 -1.485309 -0.4586075 -0.1384528 0.6322293 0.1997748 -451.9844
146 -1.652932 -0.4784469 -0.1230436 0.8584869 0.2534872 -460.2622
147 -1.621217 -0.4248536 -0.03838173 0.9263703 0.1624417 -488.4612
148 -1.67445 -0.3525834 -0.2145622 1.057461 0.2026408 -510.4619
149 -1.810211 -0.3604952 -0.1707153 1.161472 0.1668762 -478.8953
150 -1.719247 -0.4296068 -0.2237759 0.6746514 0.2657851 -433.8874
151 -1.525736 -0.4261119 -0.1938772 1.000548 0.2020486 -496.9271
152 -1.591568 -0.3317556 -0.3105264 0.8098234 0.1795814 -483.2747
153 -1.699136 -0.3803981 -0.1407743 0.6604061 0.2031757 -454.8126
154 -1.263936 -0.4864786 -0.1683498 0.5760734 0.2415866 -501.3123
155 -1.361198 -0.4052018 -0.1912914 0.9721647 0.2037118 -547.9525
156 -1.951349 -0.3014831 -0.1821426 1.112267 0.1388953 -463.5981
157 -1.87853 -0.3636974 -0.4016927 1.256952 0.2113559 -448.105
158 -1.944712 -0.3060869 -0.2437059 1.277935 0.16283 -483.2986
159 -1.643136 -0.3618069 -0.1661484 0.9054655 0.1385671 -477.5292
160 -1.553949 -0.4217253 -0.1519371 0.7553 0.1993626 -468.717
161 -1.881759 -0.4760616 -0.1518781 1.067445 0.2384126 -421.0065
162 -1.96681 -0.5105097 -0.1642426 1.22959 0.2361604 -399.7254
163 -1.792376 -0.4512033 -0.09471362 1.243247 0.2483929 -495.5433
164 -1.628374 -0.4914047 -0.1970902 0.9976645 0.3005688 -476.9107
165 -1.693009 -0.4523278 -0.1341532 1.288955 0.2388923 -506.2608
166 -1.743399 -0.4096085 -0.1714989 1.188733 0.1828663 -477.3966
167 -1.280653 -0.4185299 -0.2989415 0.7831384 0.2534144 -535.3703
168 -1.694667 -0.4145285 -0.2221681 0.9102911 0.2004968 -444.461
169 -1.752721 -0.5045209 -0.2756015 1.052984 0.2767444 -421.4423
170 -1.494628 -0.5258038 -0.1137471 0.9893742 0.1850091 -457.0502
171 -1.228366 -0.5081506 -0.308249 0.6382964 0.2410875 -476.2929
172 -1.685322 -0.5863789 0.04442279 1.037677 0.2661137 -462.4226
173 -1.556891 -0.6224029 -0.148292 0.9628438 0.3515882 -457.48
174 -1.437263 -0.5009278 -0.1440017 1.032759 0.2561144 -510.8234
175 -1.593291 -0.4866872 -0.1691866 1.226215 0.2867042 -510.3409
176 -1.940719 -0.3014991 -0.1092378 1.023272 0.127243 -470.635
177 -2.26592 -0.3232391 -0.1608418 1.436608 0.1298673 -427.4999
178 -1.688062 -0.4361476 -0.2347435 1.386143 0.1894449 -482.384
179 -1.771985 -0.4220307 -0.1019436 0.949456 0.2368406 -473.2919
180 -2.145104 -0.3026579 -0.16754 1.141057 0.1488419 -428.4253
181 -1.640984 -0.4305378 -0.002995021 0.8628417 0.1780692 -488.2531
182 -1.404136 -0.5214201 -0.07782423 0.8628172 0.2548692 -506.7922
183 -1.583791 -0.4946206 -0.1797188 0.7802906 0.2871248 -460.4683
184 -1.44405 -0.5023596 -0.1990079 0.9757393 0.2430132 -482.8166
185 -1.977425 -0.2458786 -0.2385699 1.143695 0.1412188 -487.237
186 -1.648942 -0.4105806 -0.1739049 0.9750074 0.2333988 -494.4933
187 -1.733589 -0.3962924 -0.422343 1.113946 0.2613964 -461.2107
188 -1.809072 -0.4033276 -0.2715373 1.331503 0.230915 -482.7283
189 -1.618202 -0.430723 -0.196105 0.992085 0.2212541 -477.3006
190 -1.8138 -0.3629619 -0.1657577 1.265775 0.2074378 -512.9316
191 -1.488531 -0.4521182 -0.3426419 1.046054 0.161188 -455.2973
192 -1.537369 -0.4304205 -0.2313779 1.009216 0.2558268 -507.2796
193 -1.61653 -0.435397 -0.1079575 0.8015711 0.1821518 -458.0992
194 -1.178087 -0.5261714 -0.2293789 0.6732549 0.274659 -509.2366
195 -1.623121 -0.3453473 -0.3207806 1.064849 0.1633653 -486.4614
196 -1.592894 -0.389652 -0.2125998 0.8568872 0.2113024 -486.2313
197 -1.80131 -0.3898408 -0.2458263 1.072442 0.2434908 -468.5057
198 -1.469909 -0.377614 -0.1753497 0.7908062 0.2285322 -536.0044
199 -1.644395 -0.4858205 -0.05850775 0.9027636 0.2367427 -470.2022
200 -1.890222 -0.5644698 -0.08341045 1.181255 0.2744927 -418.7727
