irep theta1 theta2 beta omega1 omega2 LL.IS
82 -1.763001 -0.3297795 -0.1495123 0.9048465 0.1356598 -470.8156
83 -1.458243 -0.514681 -0.1028775 0.9720654 0.2488381 -497.0708
84 -1.610553 -0.3868768 -0.1482062 0.8292431 0.1550202 -465.229
85 -1.900907 -0.381865 -0.1041291 1.190835 0.1784956 -469.5898
86 -1.460874 -0.5167806 -0.4107503 0.9383035 0.2980794 -454.148
87 -1.398961 -0.4840579 -0.1928414 0.4007157 0.2856782 -475.5112
88 -1.812797 -0.405871 -0.1234445 1.151305 0.1068185 -441.3549
89 -1.366253 -0.4881648 -0.1190032 0.6440617 0.2763472 -513.1851
90 -1.46441 -0.4451312 -0.06937214 0.8085667 0.1773009 -495.4785
91 -1.562386 -0.5267024 -0.208394 1.135994 0.3347925 -502.4432
92 -1.757161 -0.3772662 -0.05868448 0.8967206 0.1434595 -464.0642
93 -1.675785 -0.4992718 -0.0867543 1.276722 0.2520758 -494.4379
94 -1.446994 -0.3352015 -0.3997644 0.6850191 0.1330262 -466.6231
95 -1.807887 -0.505889 -0.1107271 1.2757 0.2472917 -461.9445
96 -1.523496 -0.5156372 -0.1398743 0.9244376 0.2732845 -479.0784
97 -1.617181 -0.2874293 -0.2160622 0.7084788 0.1493927 -500.887
98 -1.591974 -0.5371592 -0.2056114 1.192351 0.2611965 -462.9337
99 -1.825692 -0.3148194 -0.2140686 0.7961502 0.07910431 -416.9045
100 -2.308163 -0.3192763 -0.1108496 1.408659 0.2025725 -457.1051
101 -1.612829 -0.4756191 -0.07964035 1.007247 0.1646939 -455.8285
102 -1.94081 -0.372431 -0.2233905 1.167759 0.1841964 -438.0774
103 -1.694182 -0.4135284 -0.09124628 1.290928 0.1829964 -515.2949
104 -1.467889 -0.5160068 -0.1414322 0.4550045 0.2640307 -440.2504
105 -1.788386 -0.3712798 -0.1753439 0.9026179 0.1972154 -455.474
106 -1.645882 -0.3738061 -0.1161838 0.8031952 0.1694292 -478.8339
107 -1.487609 -0.4480243 -0.1732006 0.8257549 0.2868264 -518.8986
108 -1.479176 -0.5316093 -0.2797911 0.9487916 0.2534815 -446.0576
109 -1.520165 -0.4144868 -0.169123 0.976257 0.1497281 -481.6765
110 -1.788263 -0.3367325 -0.1637619 1.020302 0.1285615 -464.8715
