rep,id,lambda
4,73,1.10978629238284
5,73,0.967574858463351
1,74,0.0976429390106863
2,74,0.173014036824559
3,74,0.0576461376332016
4,74,0.0919865923893268
5,74,0.291132883524243
1,75,1.71607077126893
2,75,1.54303236876447
3,75,1.93739955042548
4,75,1.98715753201642
5,75,1.84094888346599
1,76,0.206348309686875
2,76,0.442741069870534
3,76,0.385427276116988
4,76,0.497567093293454
5,76,0.149938358760965
1,77,2.89247606225005
2,77,2.6593111887373
3,77,2.69034895570307
4,77,2.21205619622648
5,77,2.23468747718867
1,78,1.67409083155071
2,78,1.94570012994065
3,78,1.89783604564343
4,78,1.9698989301798
5,78,2.01156360107054
1,79,0.158625368138072
2,79,0.142636847188797
3,79,0.235544154031673
4,79,0.251263635360456
5,79,0.200055987165303
1,80,6.5907248987533
2,80,6.74207170338572
3,80,7.06222094021557
4,80,7.06222094021557
5,80,6.99944774632759
1,81,0.0661646213818477
2,81,0.114956953512124
3,81,0.165258144592092
4,81,0.157000381107684
5,81,0.067054087437279
1,82,0.498135431087823
2,82,0.467129234794122
3,82,0.658789621833372
4,82,0.429873652009488
5,82,0.277854442619507
1,83,2.09564754529814
2,83,3.54057604535562
3,83,2.99770994810772
4,83,3.08400186404174
5,83,2.62341403314116
1,84,1.3549613817353
2,84,1.49590046292598
3,84,1.22624473020517
4,84,1.28298225646042
5,84,1.04910962499492
1,85,0.416240689015994
2,85,0.602068768217782
3,85,0.509368808469994
4,85,0.737518036309352
5,85,0.385057801580471
1,86,0.247330848366077
2,86,0.186029882413018
3,86,0.469044747807067
4,86,0.403237770491309
5,86,0.227369581027177
1,87,0.248604449093692
2,87,0.52233358724884
3,87,0.277674994908527
4,87,0.439813552275615
5,87,0.429954966929577
1,88,0.747982274254215
2,88,0.67471270593789
3,88,0.860605293415865
4,88,0.733740703140325
5,88,0.604005924080332
1,89,0.516893792616783
2,89,0.506416160859332
3,89,0.485234081470559
4,89,0.363491802123761
5,89,0.319944024211665
1,90,1.25873078234192
2,90,1.35528454733689
3,90,1.54330541448317
4,90,1.4769939901707
5,90,1.17290335645729
1,91,0.615758967354523
2,91,0.505295571265585
3,91,0.365581971133036
4,91,0.464935910414689
5,91,0.562834098424525
1,92,0.346868019513019
2,92,0.135097685388755
3,92,0.216600331119955
4,92,0.120142732720837
5,92,0.230042104456459
1,93,0.234787765059871
2,93,0.426266232152816
3,93,0.305932169441968
4,93,0.280010394120011
5,93,0.204792375473439
1,94,2.56412857678991
2,94,2.61853781658549
3,94,2.19397478802385
4,94,3.02598637959855
5,94,2.63230178569077
1,95,1.9348336350296
2,95,2.02687166883446
3,95,1.65693534449969
4,95,1.71062562750882
5,95,2.16666508883048
1,96,0.107051337447412
2,96,0.205736945433406
3,96,0.219368191676337
4,96,0.252305744108218
5,96,0.366782734937858
1,97,0.402713600892261
2,97,0.471833610708962
3,97,0.577991916684609
4,97,0.487475138727053
5,97,0.699530122744928
1,98,0.460763545632121
2,98,0.362611882091806
3,98,0.270661202899166
4,98,0.449102968141301
5,98,0.703387446671493
1,99,1.45249585405184
2,99,1.5336537295138
3,99,1.62584509212645
4,99,1.3565948626737
5,99,1.57453709580888
1,100,0.265366866455962
2,100,0.241611045424174
3,100,0.364594780495213
4,100,0.234283406856789
5,100,0.212900984861594
