rep,id,eta_lambda
1,38,0.0624416234132158
2,38,0.829684224374597
3,38,0.446267941117107
4,38,0.557209824812215
5,38,0.609912429074878
1,39,1.27298133828561
2,39,1.21188145746818
3,39,1.49343409837286
4,39,1.28623080026616
5,39,1.39016775176823
1,40,-0.760715689671999
2,40,-0.969894810756617
3,40,-0.603557658666819
4,40,-0.800858041245269
5,40,-0.490915416788278
1,41,-0.730009355791533
2,41,-0.303384035673603
3,41,-0.532906063171228
4,41,-0.194016931056564
5,41,0.0759283765211856
1,42,0.18114633036291
2,42,0.336221523575414
3,42,-0.223129790168466
4,42,-0.108336570272362
5,42,-0.195152795711558
1,43,-0.214721445845616
2,43,-0.752323361610119
3,43,-0.493701683298891
4,43,0.273468830487802
5,43,-0.361369735279583
1,44,0.442695016759859
2,44,0.532152199873694
3,44,0.526332937438539
4,44,0.494819592925527
5,44,0.718370983347208
1,45,0.266551365453532
2,45,-0.33309614911227
3,45,-0.220024692189721
4,45,-0.0726941588542433
5,45,0.341004940896039
1,46,-0.59703239010902
2,46,-0.474753965126923
3,46,-0.316649844707093
4,46,-1.21723161327161
5,46,-0.170288094403977
1,47,0.110706484854477
2,47,0.386221803218365
3,47,0.264862080068324
4,47,0.194441197256647
5,47,0.230604550860193
1,48,-0.759283805402723
2,48,-1.505742839136
3,48,-1.12111071195428
4,48,-1.65628228208209
5,48,-2.30942900115785
1,49,-0.800938954952269
2,49,-0.75179007384271
3,49,-0.303281804032324
4,49,-0.592867314980398
5,49,-0.598562120655833
1,50,1.17586825720341
2,50,1.49387280242266
3,50,1.26686860704522
4,50,1.40583197972813
5,50,1.32901723125724
1,51,-0.469946301463756
2,51,-0.623989980531187
3,51,-0.302582286655203
4,51,-0.327018731703968
5,51,0.191212158220036
1,52,0.654250574378035
2,52,0.976034775705207
3,52,0.81301903282944
4,52,0.69421293644723
5,52,0.842198514530207
1,53,0.732409120178766
2,53,0.170528490065007
3,53,0.50463688723054
4,53,0.568960998557599
5,53,0.596315494127318
1,54,-0.540006269631671
2,54,-0.131123317220515
3,54,-0.652032518485929
4,54,-0.603119198083461
5,54,0.147423628372302
1,55,0.758105713491396
2,55,0.751955417219673
3,55,0.724240111045162
4,55,0.611373403627859
5,55,0.85924974977679
1,56,-0.752860328288432
2,56,-1.54502476094846
3,56,-0.755569601447344
4,56,-1.03905992948563
5,56,-0.386806229670753
1,57,-1.55647634492045
2,57,-1.89309927481385
3,57,-0.880891326563617
4,57,-0.894140658040489
5,57,-1.67763882662762
1,58,0.707580553195628
2,58,0.307913451837694
3,58,0.0681611750658203
4,58,-0.0716092622440532
5,58,-0.452303380859173
1,59,-1.09212214881158
2,59,-0.406609170013372
3,59,-1.18544470201375
4,59,-1.06351181797505
5,59,-0.242676506565194
1,60,-0.643343762696953
2,60,-0.983359614264069
3,60,-1.53866117157232
4,60,-0.642362482451314
5,60,-1.45600699516198
1,61,-0.124791306225593
2,61,-1.05524959837685
3,61,-0.460101799096622
4,61,-0.525149032016548
5,61,-0.0250187387205887
1,62,1.20895934322072
2,62,1.35758824214232
3,62,1.32044103755506
4,62,1.14198276469239
5,62,0.863678872598964
1,63,-0.560621148391868
2,63,-0.688237774733954
3,63,-0.557770188863425
4,63,-0.60851719674845
5,63,-0.994842381617031
1,64,0.744417278515351
2,64,0.846614559007783
3,64,0.71049154806774
4,64,1.07567778521525
5,64,1.0029996969616
1,65,-0.991862032107111
2,65,-0.235775380898982
3,65,-1.03263783359159
4,65,-0.47676479597768
5,65,-0.636001887964986
1,66,0.128798248521725
2,66,0.141770496177141
3,66,-0.260334532414746
4,66,-0.23014281080823
5,66,0.252441885472942
1,67,-0.0924359399885095
2,67,-0.849441126988532
3,67,-0.123583084187334
4,67,-1.36608782274433
5,67,-0.707838647534989
1,68,0.0292255020776617
2,68,0.441475789768899
3,68,0.559768915517717
4,68,0.672776450929181
5,68,0.362440531859629
1,69,-0.986798125477451
2,69,-1.76021354356104
3,69,-1.94101729823084
4,69,-2.19476632423015
5,69,-2.09307611464645
1,70,-1.54005251509809
2,70,-0.619264303326656
3,70,-0.803563322897274
4,70,-1.44669284508454
5,70,-0.398245128324128
1,71,1.16252921694001
2,71,1.16825736692714
3,71,1.28522006892336
4,71,1.31260443531548
5,71,1.05883066421193
1,72,-0.717066986783752
2,72,-0.558310013854274
3,72,-0.547206038765746
4,72,-0.617583032190075
5,72,-0.539425264633869
1,73,0.770901089235084
2,73,0.762299459344867
3,73,0.517173174074497
4,73,0.854561093438086
5,73,0.717431142052223
1,74,-1.57604430739741
2,74,-1.0039889240268
3,74,-2.1030384052988
4,74,-1.63571882141725
5,74,-0.483581845592938
1,75,1.29043086824838
2,75,1.18414317700818
3,75,1.41174026199451
4,75,1.43709886779881
5,75,1.36067476226531
1,76,-0.827796088268214
2,76,-0.0643765461760098
3,76,-0.203009125945193
4,76,0.0523687554497934
5,76,-1.14713738490425
1,77,1.81250653028682
2,77,1.72846076369217
3,77,1.74006453454493
4,77,1.54431611453789
5,77,1.55449501308757
1,78,1.26566385681569
2,78,1.41601550231352
3,78,1.3911079397956
4,78,1.42837586299135
5,78,1.44930595667026
1,79,-1.09081640610806
2,79,-1.1970597829121
3,79,-0.695463266484645
4,79,-0.630858924955221
5,79,-0.858764389747479
1,80,2.63605696831053
2,80,2.65876087811879
3,80,2.70515320883691
4,80,2.70515320883691
5,80,2.69622487859613
1,81,-1.9652157530715
2,81,-1.41280391194414
3,81,-1.04985288894235
4,81,-1.10111342016447
5,81,-1.95186208404442
1,82,0.053510337081203
2,82,-0.0107556995276868
3,82,0.333042592095139
4,82,-0.0938703199730103
5,82,-0.53026426407619
1,83,1.49025622248464
2,83,2.01468306461902
3,83,1.84824227257173
4,83,1.87662168615912
5,83,1.71487016163844
1,84,1.05416657939599
2,84,1.15312196789625
3,84,0.954350060434896
4,84,0.999580881845821
5,84,0.798335454273752
1,85,-0.12609798063318
2,85,0.243010018757336
3,85,0.0758106758230141
4,85,0.445928890980306
5,85,-0.20396819595325
1,86,-0.646634745535931
2,86,-0.931454334003734
3,86,-0.00666347794988915
4,86,-0.157835263763783
5,86,-0.730784849148708
1,87,-0.641498577435132
2,87,0.10094478685824
3,87,-0.53091030623021
4,87,-0.0710107606683564
5,87,-0.0936811778148161
1,88,0.460017627225278
2,88,0.356925326490213
3,88,0.600274318281718
4,88,0.440794047777865
5,88,0.246222353019429
1,89,0.0904757703158425
2,89,0.0699971306027724
3,89,0.0272697637632285
4,89,-0.261604908844935
5,89,-0.389215596793128
1,90,0.980497523713243
2,90,1.0544050563546
3,90,1.18432011533353
4,90,1.14040256063247
5,90,0.909875802249934
1,91,0.265493947251436
2,91,0.0677818947477009
3,91,-0.255871127676687
4,91,-0.0154620839241583
5,91,0.175623257565857
1,92,-0.308417292575526
2,92,-1.2513635407056
3,92,-0.779307789665262
4,92,-1.3686811776475
5,92,-0.719099297923902
1,93,-0.698679674273216
2,93,-0.102297543777725
3,93,-0.433998244057317
4,93,-0.522534928609873
5,93,-0.835364989608576
1,94,1.69201231078988
2,94,1.71300970274757
3,94,1.5361084964927
4,94,1.85763074026679
5,94,1.71825229314178
1,95,1.41041497209147
2,95,1.45688718061467
3,95,1.25536334410403
4,95,1.28725279367772
5,95,1.52358278603596
1,96,-1.4840531443193
2,96,-0.830763264086406
3,96,-0.766610094302394
4,96,-0.626720030582773
5,96,-0.25259198308976
1,97,-0.1591360114058
2,97,-0.000735249195823129
3,97,0.202198230652556
4,97,0.0318776387072119
5,97,0.393047203483255
1,98,-0.024476657736473
2,98,-0.264028586018923
3,98,-0.556493787990614
4,98,-0.0501094637877202
5,98,0.398546220290578
1,99,1.12367698142139
2,99,1.17804657306465
3,99,1.23642136332711
4,99,1.05537140864441
5,99,1.20435494769024
1,100,-0.57624838264102
2,100,-0.670032470116382
3,100,-0.258575106506768
4,100,-0.700830130014871
5,100,-0.79653445512342
