id,eta_th1_SAEM,eta_th2_SAEM,eta_th1_mean,eta_th2_mean,eta_th1_mode,eta_th2_mode,eta_th1_sd,eta_th2_sd,treatment
187,-0.386749,-0.0111638,-0.445797,-0.0298709,-0.296214,-0.00975452,1.05442,0.201771,1
188,0.517471,0.04274,0.518085,0.0339592,0.644687,0.0592388,0.947238,0.199539,1
189,0.559915,0.0512494,0.509974,0.0498122,0.644687,0.0592386,0.969736,0.196351,1
190,-0.404303,-0.0163719,-0.441263,-0.0159408,-0.296214,-0.00975472,1.1014,0.195644,1
191,-0.468071,-0.00698471,-0.442259,-0.0132445,-0.296214,-0.00975467,1.00942,0.203246,1
192,-0.409567,-0.0193218,-0.386805,-0.0140075,-0.296214,-0.0097546,0.998117,0.207261,1
193,-0.419085,0.000202688,-0.408865,-0.0132599,-0.296214,-0.00975459,1.04869,0.205523,1
194,-0.404166,-0.0089,-0.406673,-0.0160904,-0.296214,-0.00975459,1.01924,0.206214,1
195,-0.389514,-0.0125507,-0.409156,-0.0345287,-0.296214,-0.00975474,1.04224,0.202179,1
196,-0.442634,-0.00951395,-0.374492,-0.00908855,-0.296214,-0.00975468,1.02142,0.209298,1
197,0.587802,0.00190122,0.565908,0.00430171,0.665102,0.01789,0.928888,0.199812,1
198,-0.411394,-0.0123806,-0.412149,-0.013345,-0.296214,-0.00975462,1.02995,0.203162,1
199,0.495259,0.0578525,0.503453,0.0425866,0.644687,0.0592389,0.967563,0.207831,1
200,-0.406045,-0.0245362,-0.361925,-0.0200912,-0.296214,-0.00975456,1.02395,0.203906,1
201,-0.335912,-0.0183816,-0.424873,-0.0110096,-0.296214,-0.00975467,0.99733,0.209705,1
202,-0.419484,-0.0230762,-0.357757,-0.0158075,-0.296214,-0.00975463,1.03548,0.191884,1
203,0.53093,-0.00528668,0.525907,0.0137434,0.665103,0.0178899,0.934142,0.19133,1
204,0.464731,0.0806689,0.557484,0.0861829,0.622589,0.10013,0.944052,0.194268,1
205,-0.333999,-0.018436,-0.43236,-0.00340729,-0.296214,-0.00975472,1.04547,0.201114,1
206,-0.383365,-0.013723,-0.362167,-0.0198944,-0.296214,-0.00975463,1.0563,0.202501,1
207,0.608661,0.00193157,0.583852,0.00103912,0.665103,0.01789,0.921157,0.197893,1
208,-0.449158,-0.00553608,-0.346552,-0.0263369,-0.296214,-0.00975448,1.04662,0.205654,1
209,-0.419714,-0.0153231,-0.397754,-0.00998983,-0.296214,-0.00975468,1.06608,0.205465,1
210,-0.451221,-0.0151403,-0.465321,-0.0297081,-0.296214,-0.0097547,1.01302,0.199071,1
211,-0.413613,-0.0175175,-0.427697,-0.0253109,-0.296214,-0.00975461,1.01034,0.204227,1
