id,eta_th1_SAEM,eta_th2_SAEM,eta_th1_mean,eta_th2_mean,eta_th1_mode,eta_th2_mode,eta_th1_sd,eta_th2_sd,treatment
109,-0.449886,-0.014975,-0.468864,-0.0285321,-0.325655,-0.0131345,1.03535,0.196969,0
110,0.40833,0.0595308,0.370426,0.0612522,0.556496,0.0889414,0.95091,0.191795,0
111,-0.483354,-0.0278381,-0.409847,-0.0131171,-0.325656,-0.0131347,1.01459,0.205399,0
112,-0.454679,-0.0278089,-0.457454,-0.0129639,-0.325656,-0.0131348,0.990002,0.189588,0
113,0.493167,-0.00759915,0.467664,0.00597604,0.608971,0.00977261,0.938053,0.198946,0
114,-0.417276,-0.0149814,-0.41295,-0.0192697,-0.325656,-0.0131346,1.06715,0.194448,0
115,0.48829,0.0337829,0.456203,0.0219216,0.583829,0.0497321,0.900339,0.18759,0
116,-0.389491,-0.0200276,-0.431983,-0.0419647,-0.325656,-0.0131348,1.03129,0.198455,0
117,-0.47045,-0.0101646,-0.361543,-0.0185839,-0.325656,-0.0131347,0.966798,0.212422,0
118,-0.435209,-0.0282235,-0.455635,-0.0184162,-0.325656,-0.0131347,1.03172,0.202935,0
119,-0.433056,-0.0143513,-0.440613,-0.0258831,-0.325656,-0.0131348,1.00772,0.204147,0
120,-0.450464,-0.0258525,-0.386521,-0.0238032,-0.325656,-0.0131346,1.05278,0.202847,0
121,-0.362542,-0.0117453,-0.395819,-0.0327618,-0.325656,-0.0131347,1.04587,0.206682,0
122,-0.384747,-0.0226675,-0.463885,-0.0290215,-0.325656,-0.0131346,1.04136,0.201322,0
123,-0.400521,-0.0305599,-0.452453,-0.0167664,-0.325656,-0.0131347,0.997009,0.200467,0
124,-0.428981,-0.0262562,-0.418767,-0.0259597,-0.325656,-0.0131346,0.999764,0.207867,0
125,0.459959,0.0340624,0.470575,0.0221514,0.58383,0.0497319,0.948635,0.19346,0
