irep theta1 theta2 beta omega1 LL.IS
98 -1.499039 -0.4517023 -0.1615972 5.083982 -605.6291
99 -1.465044 -0.4067011 -0.2102969 3.50671 -621.1022
100 -2.2276 -0.3276319 -0.2799523 4.490583 -585.7895
101 -1.441797 -0.413561 -0.03911502 3.713653 -653.1567
102 -2.167118 -0.3513297 -0.07211526 4.055916 -601.311
103 -1.475625 -0.4450013 -0.08438978 3.744327 -639.9165
104 -1.587318 -0.4080074 -0.1090288 4.086958 -629.09
105 -1.975246 -0.4362904 -0.1815998 4.644545 -577.2099
106 -1.896741 -0.4334399 0.01929623 4.228309 -603.8279
107 -1.849495 -0.3354473 -0.1897475 3.800467 -618.2866
108 -2.457215 -0.4439942 -0.186001 5.231534 -547.7064
109 -1.68281 -0.3537469 -0.1347069 3.803821 -637.9696
110 -1.963802 -0.3035688 -0.2736944 4.370303 -595.573
111 -1.143896 -0.4642121 -0.1174428 3.701994 -645.7223
112 -1.892918 -0.36013 -0.1439536 3.612407 -605.9624
113 -1.696974 -0.4818638 -0.001453549 4.185185 -603.288
114 -1.784638 -0.3393207 -0.1516425 3.677195 -632.3397
115 -1.876989 -0.4056293 -0.1454503 4.850533 -600.3394
116 -1.546252 -0.3960838 -0.1882087 4.223682 -629.054
117 -1.725753 -0.3842824 -0.1142034 3.648118 -619.4012
118 -1.514213 -0.4575442 -0.06038999 3.873104 -627.9046
119 -2.437906 -0.4546184 0.0280135 4.670835 -568.5128
120 -1.501957 -0.4720936 -0.08579567 3.835158 -617.9898
121 -2.552323 -0.4034388 -0.1658921 5.163169 -557.114
122 -1.973685 -0.4552819 -0.133443 4.006941 -571.477
123 -1.245902 -0.3767725 -0.2380241 3.364435 -645.9033
124 -1.913875 -0.4436928 -0.1349669 4.818552 -584.156
125 -1.539452 -0.3529018 -0.2153293 4.206488 -634.1461
126 -2.070376 -0.3906708 -0.1581847 4.413011 -594.8682
127 -1.696835 -0.4351239 -0.1258418 3.968706 -604.8743
128 -1.368878 -0.374734 -0.141501 3.963189 -652.0277
129 -1.953173 -0.3623201 -0.1848192 4.342344 -595.9707
130 -1.263051 -0.4205301 -0.1408987 3.778459 -652.1286
131 -1.48815 -0.3944681 -0.1251385 3.585872 -644.6074
132 -1.866284 -0.316592 -0.2080275 4.134378 -618.6782
133 -1.349634 -0.3040719 -0.1550241 3.699082 -680.6957
134 -1.446329 -0.4260541 -0.1319565 4.231275 -622.7542
135 -2.133618 -0.3511192 -0.1113798 3.586584 -586.9498
136 -2.644431 -0.431324 -0.1998896 4.197822 -509.7103
137 -1.243103 -0.3183981 -0.2819233 4.009956 -651.6457
138 -1.744351 -0.3756473 -0.2551563 4.616225 -601.4484
139 -1.5614 -0.4465065 -0.09908833 4.247551 -617.5246
140 -1.34821 -0.4419526 -0.1798601 3.911554 -625.0839
141 -1.238481 -0.393151 -0.1947737 4.139034 -638.521
142 -2.33367 -0.420301 -0.1503019 4.477672 -552.9158
143 -2.178085 -0.4121699 -0.1656301 3.911973 -560.4619
144 -1.649668 -0.4396959 -0.08105309 3.741035 -618.9992
145 -1.522041 -0.4100349 -0.05978163 3.769467 -651.7873
146 -1.201778 -0.3994287 -0.2244916 4.372558 -640.9742
147 -2.383537 -0.3050483 -0.1276189 4.016112 -586.9998
148 -2.232922 -0.3910372 -0.2896225 4.368192 -559.7894
149 -1.686169 -0.3500794 -0.1709213 4.535979 -620.71
150 -1.63718 -0.3309359 -0.1975338 4.354575 -636.9894
151 -1.604007 -0.3594124 -0.181785 4.107519 -632.911
152 -1.551904 -0.3554367 -0.3222352 4.556654 -618.4745
153 -1.987181 -0.3825451 -0.1031052 3.488561 -598.9449
154 -1.713945 -0.383514 -0.04025614 3.799255 -637.6285
155 -2.048574 -0.3504858 -0.187323 4.173665 -591.5358
156 -2.048357 -0.379608 -0.102191 3.935588 -600.4936
157 -1.78966 -0.3729542 -0.1837437 4.084548 -610.3639
158 -1.492457 -0.3634472 -0.1037373 3.748459 -654.4749
159 -1.612956 -0.4195185 -0.03540312 3.776821 -631.3606
160 -1.840715 -0.4141587 -0.1254318 3.779104 -597.3148
161 -1.847333 -0.3103479 -0.2199687 4.233313 -624.0021
162 -2.111153 -0.360634 -0.1069194 4.227676 -610.8904
163 -1.540116 -0.4516356 -0.06800238 3.997349 -628.8597
164 -1.270422 -0.4139804 -0.1168558 4.098967 -652.0735
165 -1.516643 -0.418684 -0.04943387 3.455491 -639.8271
166 -1.466648 -0.4449134 -0.10521 4.315608 -625.9323
167 -1.692936 -0.3575637 -0.1890002 3.53379 -620.2801
168 -2.330357 -0.381206 -0.0849357 4.276661 -575.1216
169 -2.117568 -0.3270373 -0.1949856 3.884845 -588.857
170 -1.652888 -0.3444691 -0.2182659 3.997401 -614.1247
171 -1.511037 -0.3434721 -0.2221345 4.863085 -625.2723
172 -1.53876 -0.4253112 -0.07769123 4.030581 -629.6055
173 -1.72599 -0.4164263 -0.1389971 3.889553 -602.7437
174 -1.769786 -0.3584798 -0.164034 4.158721 -610.6837
175 -1.707505 -0.4099535 -0.05282485 3.536396 -625.0292
176 -1.596607 -0.4176525 -0.08552835 3.407076 -623.6962
177 -1.682142 -0.4205098 -0.0823391 3.790223 -614.9075
178 -1.486837 -0.3382104 -0.2332971 3.26948 -639.3666
179 -1.235781 -0.3149559 -0.1660128 3.577772 -685.2318
180 -1.674556 -0.438852 -0.2514994 4.559938 -594.9611
181 -1.678784 -0.3358914 -0.2112797 3.109411 -612.7773
182 -0.9974307 -0.4683628 -0.1638808 3.932112 -646.1695
183 -2.268019 -0.4157762 -0.1276689 3.984842 -558.0795
184 -1.98853 -0.3455871 -0.1162525 3.696732 -597.9408
185 -1.077673 -0.3590458 -0.1915687 4.117254 -676.4735
186 -0.8053913 -0.4018598 -0.1931524 3.951799 -674.406
187 -2.136554 -0.4672604 -0.1859711 5.199248 -553.3696
188 -1.48425 -0.3761722 -0.3400396 4.310337 -615.492
189 -2.323631 -0.3564569 -0.1954477 4.568504 -566.7928
190 -1.346053 -0.3398268 -0.20451 3.387846 -661.0129
191 -1.600115 -0.439172 -0.05562711 3.576092 -627.0115
192 -1.169745 -0.3885028 -0.1137745 3.841262 -665.2002
193 -2.242256 -0.5926429 0.0304601 5.355644 -548.3761
194 -1.884169 -0.4245172 -0.1228721 4.116841 -594.0429
195 -1.496667 -0.3936908 -0.1110893 3.955065 -631.1501
196 -1.751932 -0.3850491 -0.1200572 4.099684 -622.9439
197 -1.917113 -0.3570132 -0.2141131 3.94658 -606.3233
198 -2.143081 -0.4179851 -0.2293265 4.607106 -565.467
199 -1.763081 -0.3455781 -0.1017234 3.846542 -635.0186
200 -1.798519 -0.4146348 -0.1749248 4.17133 -594.943
