irep theta1 theta2 beta omega1 LL.IS
98 -1.4974 -0.4519341 -0.1608072 5.080654 -605.6296
99 -1.46571 -0.4069103 -0.2088007 3.504473 -621.1029
100 -2.227131 -0.3274008 -0.2772137 4.479709 -585.7857
101 -1.44046 -0.4127388 -0.03845472 3.703241 -653.1568
102 -2.165453 -0.3494991 -0.07383874 4.046319 -601.3153
103 -1.477463 -0.444609 -0.08409067 3.743347 -639.9179
104 -1.58738 -0.4081148 -0.1085043 4.086213 -629.0895
105 -1.972267 -0.4361383 -0.1802714 4.63526 -577.205
106 -1.890211 -0.4318866 0.01860572 4.212038 -603.8211
107 -1.848877 -0.3358987 -0.1902166 3.804186 -618.2863
108 -2.458614 -0.4442138 -0.186761 5.23657 -547.7064
109 -1.679999 -0.3537227 -0.1341066 3.797841 -637.9701
110 -1.961551 -0.3031371 -0.2757853 4.370174 -595.5734
111 -1.145399 -0.4649729 -0.1168736 3.706761 -645.7226
112 -1.891533 -0.3601374 -0.1428283 3.607302 -605.9629
113 -1.699209 -0.4819377 -0.001315294 4.187474 -603.2898
114 -1.786594 -0.3395125 -0.1517188 3.681325 -632.3395
115 -1.876809 -0.406203 -0.1448568 4.85236 -600.3374
116 -1.549644 -0.3961549 -0.1869203 4.22508 -629.0551
117 -1.725979 -0.3845288 -0.113765 3.648653 -619.4003
118 -1.513262 -0.4576034 -0.06025826 3.871445 -627.9026
119 -2.440031 -0.4545952 0.02875513 4.670647 -568.5118
120 -1.501773 -0.4731148 -0.08525748 3.839843 -617.9972
121 -2.547854 -0.4030141 -0.164873 5.150973 -557.1131
122 -1.974832 -0.4553618 -0.1335286 4.009322 -571.4767
123 -1.24582 -0.3767441 -0.2379614 3.363929 -645.9035
124 -1.91526 -0.4441706 -0.1349199 4.823824 -584.1559
125 -1.537477 -0.3532415 -0.2143102 4.203226 -634.1453
126 -2.072243 -0.3920169 -0.1586691 4.425817 -594.8773
127 -1.697195 -0.4343317 -0.1256463 3.963568 -604.8757
128 -1.368921 -0.3756176 -0.1419337 3.97203 -652.0199
129 -1.953366 -0.3620067 -0.1841914 4.338311 -595.9702
130 -1.263829 -0.4210236 -0.1412552 3.784094 -652.1276
131 -1.489021 -0.3948466 -0.1257813 3.59167 -644.6104
132 -1.867991 -0.3160906 -0.2086906 4.13499 -618.6776
133 -1.351474 -0.3041724 -0.1549912 3.702565 -680.6953
134 -1.446089 -0.4258919 -0.1326377 4.232394 -622.7526
135 -2.133889 -0.3513398 -0.1105952 3.58563 -586.9489
136 -2.645637 -0.4306336 -0.2003705 4.196907 -509.7112
137 -1.242411 -0.3192964 -0.2834921 4.021641 -651.6473
138 -1.744514 -0.3755499 -0.2550397 4.615156 -601.4488
139 -1.559114 -0.4459607 -0.09905743 4.240514 -617.5217
140 -1.347549 -0.4423435 -0.1812347 3.917424 -625.0884
141 -1.238369 -0.3937818 -0.195227 4.14649 -638.5187
142 -2.331762 -0.4201256 -0.1506966 4.475142 -552.9157
143 -2.176425 -0.4118825 -0.1658494 3.909199 -560.4625
144 -1.647922 -0.4395467 -0.07957262 3.733285 -618.9985
145 -1.521169 -0.4096977 -0.06061814 3.768617 -651.7869
146 -1.204674 -0.3973733 -0.2249456 4.362083 -640.9812
147 -2.38521 -0.3051129 -0.1274746 4.017972 -587.001
148 -2.233185 -0.3901165 -0.28982 4.363443 -559.7859
149 -1.687176 -0.3504611 -0.170759 4.539476 -620.7113
150 -1.635973 -0.3300256 -0.1968651 4.343631 -636.9905
151 -1.604625 -0.3607354 -0.1831412 4.122236 -632.9084
152 -1.550058 -0.3544873 -0.3194526 4.537875 -618.4667
153 -1.988702 -0.3819987 -0.103464 3.487528 -598.9456
154 -1.717814 -0.3835432 -0.03987141 3.804048 -637.6306
155 -2.047228 -0.3509115 -0.1878459 4.176213 -591.533
156 -2.051495 -0.3809944 -0.1026873 3.949496 -600.4894
157 -1.789025 -0.3735119 -0.1845469 4.089786 -610.3656
158 -1.492745 -0.3634669 -0.1038314 3.749316 -654.4747
159 -1.61315 -0.4192103 -0.03546417 3.775223 -631.3607
160 -1.839332 -0.4135294 -0.1261163 3.77569 -597.3157
161 -1.849767 -0.3111821 -0.2222826 4.251041 -623.9921
162 -2.108629 -0.3607953 -0.1071514 4.226915 -610.8889
163 -1.540558 -0.4508009 -0.06848915 3.993826 -628.8606
164 -1.270518 -0.4139428 -0.1167625 4.098534 -652.0734
165 -1.516751 -0.4193816 -0.04908168 3.459196 -639.8264
166 -1.465051 -0.444369 -0.103698 4.303491 -625.9293
167 -1.693534 -0.3575014 -0.1897669 3.536 -620.2794
168 -2.331573 -0.3814563 -0.08591551 4.283413 -575.1202
169 -2.119709 -0.3264594 -0.1949499 3.883008 -588.8599
170 -1.652975 -0.3444409 -0.2179485 3.996543 -614.125
171 -1.510459 -0.3442173 -0.2225831 4.870622 -625.2692
172 -1.537601 -0.4250612 -0.07816312 4.029383 -629.6057
173 -1.727864 -0.4150419 -0.1391256 3.883399 -602.7442
174 -1.767557 -0.3587086 -0.1638682 4.157259 -610.6835
175 -1.70807 -0.4100666 -0.05327544 3.539593 -625.0282
176 -1.595793 -0.4172855 -0.08606392 3.405644 -623.6967
177 -1.681787 -0.4208093 -0.08255268 3.792475 -614.9096
178 -1.487457 -0.3385528 -0.234081 3.27476 -639.3653
179 -1.235273 -0.3150763 -0.1661442 3.578416 -685.231
180 -1.673503 -0.4396303 -0.2524403 4.566441 -594.964
181 -1.677368 -0.334398 -0.210726 3.097537 -612.78
182 -0.9976997 -0.4684856 -0.1630078 3.930741 -646.1686
183 -2.269277 -0.4163777 -0.129707 3.99344 -558.0778
184 -1.98407 -0.3456565 -0.1141711 3.685422 -597.9477
185 -1.078436 -0.3592922 -0.1913792 4.120056 -676.4727
186 -0.8051967 -0.4016109 -0.1927182 3.948228 -674.4062
187 -2.13382 -0.4671007 -0.1852634 5.19238 -553.3684
188 -1.481152 -0.3759685 -0.3384264 4.299436 -615.4945
189 -2.326012 -0.3552157 -0.1969743 4.566352 -566.7886
190 -1.345895 -0.3388883 -0.2059434 3.385429 -661.0114
191 -1.600171 -0.4395554 -0.05583628 3.579576 -627.0137
192 -1.170634 -0.3889231 -0.1136811 3.845625 -665.1998
193 -2.245072 -0.5941191 0.03184241 5.364128 -548.379
194 -1.884347 -0.4261815 -0.122426 4.127086 -594.0408
195 -1.497214 -0.3932614 -0.1100855 3.948371 -631.1522
196 -1.7537 -0.3851101 -0.119149 4.098762 -622.9487
197 -1.918634 -0.3566015 -0.2143638 3.946491 -606.3231
198 -2.144893 -0.4189301 -0.2289277 4.614017 -565.4705
199 -1.763375 -0.3451778 -0.1011943 3.84235 -635.0213
200 -1.798007 -0.4139853 -0.1750236 4.16689 -594.9431
