irep theta1 theta2 beta omega1 LL.IS
97 -1.481174 -0.3769867 -0.1672188 3.806288 -641.0527
98 -1.499106 -0.4517727 -0.1592204 5.075439 -605.6291
99 -1.463729 -0.4066871 -0.2089678 3.501072 -621.1009
100 -2.227695 -0.3277851 -0.2792997 4.49043 -585.7903
101 -1.440697 -0.4129296 -0.03858502 3.705832 -653.1577
102 -2.166021 -0.3493727 -0.07384851 4.046134 -601.3152
103 -1.475005 -0.4447052 -0.08370885 3.739287 -639.917
104 -1.588516 -0.407605 -0.1085857 4.084201 -629.0895
105 -1.97771 -0.4373863 -0.182158 4.655963 -577.2173
106 -1.891148 -0.4326382 0.01867302 4.218274 -603.8232
107 -1.84946 -0.3357191 -0.1905351 3.804738 -618.2876
108 -2.455768 -0.4439901 -0.1863465 5.230835 -547.7066
109 -1.681767 -0.3539333 -0.1342042 3.801923 -637.9696
110 -1.965969 -0.3034722 -0.2748081 4.375346 -595.572
111 -1.143141 -0.4650182 -0.1177515 3.707261 -645.7227
112 -1.891691 -0.3601263 -0.1429682 3.607692 -605.9629
113 -1.698867 -0.4823667 -0.001607664 4.191387 -603.2888
114 -1.786365 -0.3396374 -0.1515159 3.681121 -632.3397
115 -1.877066 -0.4061658 -0.1457913 4.856351 -600.3391
116 -1.547878 -0.3958261 -0.1860891 4.217355 -629.0526
117 -1.725361 -0.3842053 -0.114137 3.646933 -619.4012
118 -1.512182 -0.4577412 -0.05938692 3.867844 -627.9024
119 -2.439168 -0.4548867 0.02841249 4.673002 -568.5133
120 -1.501928 -0.4707611 -0.08602561 3.827459 -617.9788
121 -2.548409 -0.4030435 -0.1650696 5.152515 -557.1136
122 -1.978831 -0.4565467 -0.1323517 4.017662 -571.4762
123 -1.245067 -0.3768476 -0.237774 3.363181 -645.9036
124 -1.912308 -0.4427669 -0.1352742 4.811092 -584.1568
125 -1.537697 -0.3530752 -0.2138413 4.200397 -634.1461
126 -2.076521 -0.3906576 -0.1605034 4.428508 -594.8802
127 -1.699181 -0.4349261 -0.1258101 3.969883 -604.8758
128 -1.369664 -0.3748188 -0.1419186 3.966204 -652.026
129 -1.950052 -0.3616874 -0.185187 4.334806 -595.9695
130 -1.263039 -0.4208905 -0.1412226 3.78196 -652.1279
131 -1.488398 -0.3942774 -0.12528 3.58551 -644.6074
132 -1.86547 -0.3165286 -0.208869 4.135102 -618.6791
133 -1.350322 -0.3046796 -0.1553983 3.706876 -680.6947
134 -1.447926 -0.4261061 -0.1333387 4.238257 -622.7489
135 -2.133 -0.352034 -0.1115946 3.592397 -586.9496
136 -2.643472 -0.4308428 -0.1988285 4.191943 -509.7109
137 -1.243356 -0.3180819 -0.2809879 4.005494 -651.6476
138 -1.744359 -0.3757726 -0.2547068 4.615504 -601.448
139 -1.55945 -0.445922 -0.09880568 4.239734 -617.5212
140 -1.346889 -0.4422233 -0.1773794 3.903328 -625.0813
141 -1.239593 -0.3928581 -0.1947626 4.138027 -638.5214
142 -2.333708 -0.4197808 -0.1493031 4.471495 -552.9163
143 -2.17943 -0.4116893 -0.1661372 3.912053 -560.4636
144 -1.649123 -0.4399754 -0.08014798 3.73907 -618.9996
145 -1.521588 -0.4087943 -0.06016236 3.760985 -651.7852
146 -1.202243 -0.3987442 -0.224088 4.365766 -640.9793
147 -2.381907 -0.3049812 -0.1273452 4.012707 -586.9991
148 -2.234145 -0.3910074 -0.2910425 4.372672 -559.7922
149 -1.688477 -0.3499957 -0.170736 4.537302 -620.7105
150 -1.634851 -0.33011 -0.1967932 4.342397 -636.9907
151 -1.602506 -0.3595505 -0.1823198 4.108487 -632.9091
152 -1.549505 -0.355126 -0.3206002 4.545348 -618.4695
153 -1.989742 -0.3825614 -0.1042502 3.495139 -598.9497
154 -1.715882 -0.382645 -0.04002548 3.79488 -637.6263
155 -2.050825 -0.3518 -0.1883907 4.188696 -591.5286
156 -2.05115 -0.3804067 -0.1035967 3.948742 -600.4884
157 -1.788746 -0.3735225 -0.1842854 4.088526 -610.3656
158 -1.492705 -0.3636889 -0.1034264 3.749548 -654.4736
159 -1.616037 -0.4190267 -0.03481986 3.775477 -631.3623
160 -1.841232 -0.4145642 -0.1250979 3.781473 -597.3129
161 -1.847474 -0.3105324 -0.2201454 4.2354 -624.0006
162 -2.108052 -0.3604659 -0.1073065 4.224491 -610.8867
163 -1.540224 -0.4520249 -0.06900306 4.003282 -628.8587
164 -1.269804 -0.4140942 -0.1165691 4.098202 -652.0742
165 -1.514374 -0.4188548 -0.04901138 3.452688 -639.8278
166 -1.463915 -0.4453866 -0.1031782 4.308081 -625.9306
167 -1.694178 -0.3574923 -0.1896652 3.536458 -620.279
168 -2.331745 -0.3816495 -0.08551239 4.283712 -575.12
169 -2.118065 -0.3270169 -0.194796 3.884373 -588.8572
170 -1.651434 -0.3445029 -0.2181845 3.995853 -614.1248
171 -1.510696 -0.3438078 -0.2234891 4.871023 -625.2693
172 -1.538952 -0.4253217 -0.0775851 4.030831 -629.605
173 -1.726797 -0.4154046 -0.1383363 3.8817 -602.742
174 -1.767856 -0.3588664 -0.1637684 4.158256 -610.6827
175 -1.707621 -0.4109163 -0.05233555 3.541298 -625.0285
176 -1.597367 -0.4182151 -0.08523602 3.410606 -623.6951
177 -1.682088 -0.4200788 -0.08254673 3.788245 -614.9069
178 -1.487502 -0.3381672 -0.2335565 3.270789 -639.3661
179 -1.235657 -0.3149472 -0.1655902 3.575879 -685.2318
180 -1.67401 -0.4383172 -0.2515803 4.556085 -594.9599
181 -1.679987 -0.3359429 -0.2113379 3.111201 -612.7771
182 -0.9977557 -0.4684926 -0.1638301 3.933206 -646.17
183 -2.268809 -0.4154136 -0.1283513 3.984865 -558.0803
184 -1.986435 -0.345449 -0.1143141 3.687193 -597.9452
185 -1.078761 -0.3592712 -0.1912706 4.120022 -676.4719
186 -0.8052077 -0.4015755 -0.1927764 3.94813 -674.4061
187 -2.134914 -0.467133 -0.1856958 5.195922 -553.3684
188 -1.478775 -0.3759423 -0.339478 4.298721 -615.4958
189 -2.326404 -0.3545088 -0.1963174 4.560145 -566.7921
190 -1.345376 -0.339519 -0.2048098 3.385603 -661.0122
191 -1.602205 -0.4403108 -0.05413587 3.581263 -627.0166
192 -1.169398 -0.3892753 -0.1139935 3.848238 -665.1973
193 -2.239307 -0.5930139 0.03283638 5.346628 -548.3741
194 -1.884913 -0.4249784 -0.1224568 4.119626 -594.0423
195 -1.496676 -0.3929478 -0.1104576 3.946463 -631.1531
196 -1.749853 -0.3859163 -0.1192372 4.100399 -622.9444
197 -1.915785 -0.3566494 -0.2133146 3.940401 -606.3238
198 -2.145955 -0.4189002 -0.2295422 4.617701 -565.4717
199 -1.765112 -0.3455288 -0.1011252 3.846965 -635.02
200 -1.799176 -0.4138294 -0.1740417 4.164718 -594.9437
