rep,id,eta_beta0,eta_gamma0,eta_delta0,group
1,1,-0.0227617478443755,-0.171358578149679,0.0993108979043844,1
1,2,-0.0116712393442651,0.151177601979436,0.145637430646852,1
1,3,-0.186427576877764,0.178163539068395,0.14943856307724,1
1,4,0.0713129040479543,0.307571556959439,0.653066631948663,1
1,5,0.027025522897579,-0.317894308424922,-0.189439780294725,1
1,6,-0.0473713395149424,0.0938286243592802,0.851491854217327,1
1,7,-0.206531551023259,-0.200540511936734,-0.0328583259557126,1
1,8,0.0177683916898138,-0.103438834022628,0.172378540674226,1
1,9,-0.30684943224283,0.00830140873444463,-0.385841427938243,1
1,10,0.0170023428162538,-0.0106452815224123,0.187920181479488,1
1,11,0.152387944494609,0.0773940950286707,-0.236473156716186,1
1,12,0.0815913630436799,0.069088907674036,-0.4377044367284,1
1,13,-0.052334900464995,-0.237555164953164,-0.121142201078252,1
1,14,0.102177081109479,-0.0618292474470747,0.132687721774769,1
1,15,-0.125411442879678,-0.0972007027431057,-0.322317600590108,1
1,16,0.211759069817238,-0.253870746112747,0.312488331846097,1
1,17,0.0348252391638428,-0.267920488616716,-0.335073700935957,1
1,18,0.0767912401070388,-0.219713728309247,-0.252311447689115,1
1,19,0.205634520405637,0.326181261824141,0.0197435943324466,1
1,20,-0.0771145060103504,0.101533705003696,-0.613450884882529,1
1,21,-0.0585940188051328,-0.052898548805015,0.299890510874455,1
1,22,0.130669743177637,-0.0564494991220001,-0.381289119598116,1
1,23,-0.159275512633219,0.104854606953823,-0.511488132777374,1
1,24,0.0631518504840229,-0.235837962266136,0.739687121623484,1
1,25,-0.158415747682675,-0.16533483133889,0.562880542622518,1
1,26,-0.078303634499545,-0.0425138464860891,0.266757603122913,1
1,27,-0.00717272095447097,-0.299480494295854,-0.0517705880696104,1
1,28,0.0879767729053043,-0.0123895342534238,-0.426360261719931,1
1,29,-0.140128233031744,0.204292749214561,-0.477373625337193,1
1,30,0.134823424956183,-0.0352025837880049,0.334165665923839,1
1,31,-0.0739510952203283,0.160084806050826,0.0269029008685655,1
1,32,-0.172412595599702,0.140732923496865,0.482393593581204,1
1,33,0.103918925269247,-0.14398401595749,0.10186410722846,1
1,34,0.124146007733388,-0.0671152318954417,-0.459122184357844,1
1,35,-0.0553309080250256,0.0271719129551213,0.884813019570716,1
1,36,0.125326125088133,-0.022926182327934,0.129247814142473,1
1,37,-0.0154879960537311,-0.219241614361496,-0.491274163937035,1
1,38,-0.037459362506665,-0.177670268116444,-0.189381863776754,1
1,39,-0.0340417932067325,-0.342802819686031,0.0848993648441402,1
1,40,-0.127096084614829,0.306851197165796,1.00566827619489,1
1,41,-0.308846327544466,0.372724291254676,-0.331541180044589,1
1,42,-0.129484632788398,-0.446986715069991,0.284619157935016,1
1,43,-0.156929097306728,0.219686640594291,-0.496282465129192,1
1,44,-0.147839677018351,0.104364623260442,-0.513465065916622,1
1,45,0.0716213327726227,-0.105444989378118,-0.107019735467566,1
1,46,0.270057864516643,0.0219682100530195,0.256344292702627,1
1,47,0.0277323323737641,0.115254374512866,-0.197164965478544,1
1,48,0.0868743226803206,-0.0194576882250673,-0.0442266749975792,1
1,49,0.00443207548173972,-0.10592589677519,-0.0480418119437562,1
1,50,-0.0578447747108266,0.560152669555319,0.0642119411838359,1
1,51,0.0774671281724155,0.0749036640241563,-0.617178851974927,1
1,52,0.0403758229168711,-0.426823021137552,-0.0223068338473809,1
1,53,0.0376938590683419,0.356661120157034,-0.179326782402341,1
1,54,-0.188762038605703,-0.549263119473176,-0.164348921131619,1
